trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'a': 0.5, 'e': 0.9575751161392894}",20,0,-86.22804654964202,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.9571719910738388}",30,0,-89.18651022429515,"{0: 18, 1: 2, 2: 10, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.9567670222209509}",30,0,-88.59911888174513,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.9563602027838939}",20,0,-118.21923219878003,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.9559515259573187}",30,0,-92.14369370903175,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.9555409849274328}",30,3,-11.196213840309847,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.955128572872176}",20,0,-89.69252607228769,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.9547142829613994}",35,0,-280.67583098956044,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 5}",0
154,False,"{'a': 0.5, 'e': 0.9542981083570449}",30,5,-111.51680211959233,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.9538800422133288}",25,15,-18.680739798604662,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.9534600776769266}",20,11,2.4816833665712883,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.9530382078871604}",25,18,-2.872663490419514,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.9526144259761885}",25,0,-204.20204911358775,"{0: 10, 1: 5, 2: 5, 3: 3, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.9521887250691973}",30,0,-184.74045959170078,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
160,False,"{'a': 0.5, 'e': 0.9517610982845958}",20,0,-102.28487201054695,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.9513315387342123}",20,0,-102.2245693612443,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
162,False,"{'a': 0.5, 'e': 0.9509000395234932}",30,0,-134.8721301976485,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.9504665937517046}",20,0,-136.2291687193581,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.9500311945121359}",20,0,-39.12483589569087,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.949593834892306}",20,0,-116.53706066697939,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.9491545079741718}",30,0,-224.67555697316917,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 5}",0
167,False,"{'a': 0.5, 'e': 0.9487132068343394}",20,0,-75.22563335769854,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.9482699245442772}",20,0,-122.12789050872469,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.9478246541705319}",20,0,-54.53449967041308,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.9473773887749466}",20,0,-145.77154973572144,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.946928121414882}",25,5,-93.68174923966718,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.9464768451434392}",20,4,10.06539767930526,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.9460235530096854}",25,0,-150.02217208693818,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
174,False,"{'a': 0.5, 'e': 0.9455682380588823}",20,0,-32.19573282417406,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.9451108933327168}",25,0,-175.85141791632412,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
